Depth,Density,Block_densities,Density_Kg_m3,Block_Density_Kg_m3,Depth_m,pp,Sv,Sv_block,overburdenStressGradient,overburdenStressGradientBlock,Continuous_porosity,Block_porosity
0.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,0.0,0.0,0.40676369133052803,0.39384714317204467,inf,inf,0.48364705882352954,0.5187226258924623
0.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,0.1524,0.22,0.8135273826610561,0.7876942863440893,1.6270547653221121,1.5753885726881787,0.48364705882352954,0.5187226258924623
1.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,0.3048,0.44,1.220291073991584,1.181541429516134,1.220291073991584,1.181541429516134,0.48364705882352954,0.5187226258924623
1.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,0.45720000000000005,0.66,1.6270547653221121,1.5753885726881787,1.0847031768814082,1.0502590484587857,0.48364705882352954,0.5187226258924623
2.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,0.6096,0.88,2.0338184566526403,1.9692357158602234,1.0169092283263201,0.9846178579301117,0.48364705882352954,0.5187226258924623
2.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,0.762,1.1,2.4405821479831684,2.363082859032268,0.9762328591932674,0.9452331436129071,0.48364705882352954,0.5187226258924623
3.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,0.9144000000000001,1.32,2.8473458393136966,2.7569300022043124,0.9491152797712322,0.9189766674014375,0.48364705882352954,0.5187226258924623
3.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,1.0668,1.54,3.2541095306442247,3.150777145376357,0.9297455801840642,0.900222041536102,0.48364705882352954,0.5187226258924623
4.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,1.2192,1.76,3.660873221974753,3.5446242885484014,0.9152183054936882,0.8861560721371003,0.48364705882352954,0.5187226258924623
4.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,1.3716000000000002,1.98,4.0676369133052805,3.938471431720446,0.9039193140678401,0.8752158737156547,0.48364705882352954,0.5187226258924623
5.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,1.524,2.2,4.474400604635808,4.332318574892491,0.8948801209271616,0.8664637149784982,0.48364705882352954,0.5187226258924623
5.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,1.6764000000000001,2.42,4.881164295966336,4.726165718064536,0.8874844174484248,0.8593028578299156,0.48364705882352954,0.5187226258924623
6.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,1.8288000000000002,2.64,5.287927987296864,5.120012861236581,0.881321331216144,0.8533354768727635,0.48364705882352954,0.5187226258924623
6.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,1.9812,2.86,5.694691678627391,5.513860004408626,0.8761064120965217,0.8482861545244039,0.48364705882352954,0.5187226258924623
7.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,2.1336,3.08,6.101455369957919,5.907707147580671,0.8716364814225599,0.8439581639400958,0.48364705882352954,0.5187226258924623
7.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,2.286,3.3,6.508219061288447,6.301554290752716,0.8677625415051262,0.8402072387670287,0.48364705882352954,0.5187226258924623
8.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,2.4384,3.52,6.914982752618974,6.6954014339247605,0.8643728440773718,0.8369251792405951,0.48364705882352954,0.5187226258924623
8.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,2.5908,3.74,7.321746443949502,7.0892485770968054,0.8613819345822944,0.83402924436433,0.48364705882352954,0.5187226258924623
9.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,2.7432000000000003,3.96,7.72851013528003,7.48309572026885,0.8587233483644477,0.8314550800298722,0.48364705882352954,0.5187226258924623
9.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,2.8956,4.18,8.135273826610558,7.876942863440895,0.8563446133274271,0.8291518803621996,0.48364705882352954,0.5187226258924623
10.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,3.048,4.4,8.542037517941086,8.27079000661294,0.8542037517941086,0.8270790006612939,0.48364705882352954,0.5187226258924623
10.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,3.2004,4.62,8.948801209271615,8.664637149784983,0.8522667818353918,0.8252035380747603,0.48364705882352954,0.5187226258924623
11.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,3.3528000000000002,4.84,9.355564900602143,9.058484292957028,0.8505059000547402,0.8234985720870025,0.48364705882352954,0.5187226258924623
11.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,3.5052000000000003,5.06,9.762328591932672,9.452331436129072,0.848898138428928,0.8219418640112236,0.48364705882352954,0.5187226258924623
12.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,3.6576000000000004,5.28,10.1690922832632,9.846178579301116,0.8474243569386001,0.8205148816084263,0.48364705882352954,0.5187226258924623
12.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,3.81,5.5,10.575855974593729,10.24002572247316,0.8460684779674983,0.8192020577978528,0.48364705882352954,0.5187226258924623
13.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,3.9624,5.72,10.982619665924258,10.633872865645204,0.8448168973787891,0.8179902204342464,0.48364705882352954,0.5187226258924623
13.5,1.8778,1.8181715359828141,1877.8,1818.171535982814,4.1148,5.94,11.389383357254786,11.027720008817248,0.8436580264633174,0.8168681488012776,0.48364705882352954,0.5187226258924623
14.0,1.8778,1.8181715359828141,1877.8,1818.171535982814,4.2672,6.16,11.796147048585315,11.421567151989292,0.8425819320418082,0.8158262251420922,0.48364705882352954,0.5187226258924623
